Pokemon Stadium 2 - Extracted Move Names
==================================================

 BALL                - ROM 0x01d870f0
 Ball                - ROM 0x01d8e499
 CUP                 - ROM 0x01d8c712
 Cup                 - ROM 0x01d8e446
 DOLL                - ROM 0x01d8721e
 FLUTE               - ROM 0x01d8a187
A to Z               - ROM 0x01d8ca1e
ABILITIES            - ROM 0x01d8cdd1
ABSORB               - ROM 0x01d81020
ACCURACY             - ROM 0x01d8cdf2
ACID                 - ROM 0x01d80f6b
ACID ARMOR           - ROM 0x01d8131a
AEROBLAST            - ROM 0x01d81414
AGILITY              - ROM 0x01d81126
AMNESIA              - ROM 0x01d81273
AMULET COIN          - ROM 0x01d87432
ANCIENTPOWER         - ROM 0x01d816cb
ANTIDOTE             - ROM 0x01d8710a
AOK                  - ROM 0x01d8c2cf
ATTACK               - ROM 0x01d8cddb
ATTRACT              - ROM 0x01d81575
AURORA BEAM          - ROM 0x01d80fc7
AWAKENING            - ROM 0x01d87126
AZALEA GYM BATTLE    - ROM 0x01d8e2bf
Accuracy             - ROM 0x01d8c268
Anything Goes        - ROM 0x01d8ca53
Attack               - ROM 0x01d8c20e
BARRAGE              - ROM 0x01d812b8
BARRIER              - ROM 0x01d811b5
BASEMENT KEY         - ROM 0x01d875f3
BATON PASS           - ROM 0x01d815fb
BATTLE               - ROM 0x01d8cda4
BEAT UP              - ROM 0x01d81706
BELLY DRUM           - ROM 0x01d8147c
BERRY                - ROM 0x01d8771f
BERRY JUICE          - ROM 0x01d87611
BERSERK GENE         - ROM 0x01d87669
BICYCLE              - ROM 0x01d870f7
BIDE                 - ROM 0x01d811e4
BIG MUSHROOM         - ROM 0x01d8740a
BIG PEARL            - ROM 0x01d8750c
BIKE VOUCHER         - ROM 0x01d8a077
BIND                 - ROM 0x01d80e55
BITE                 - ROM 0x01d80f39
BITTER BERRY         - ROM 0x01d873d8
BLACK BELT           - ROM 0x01d8748b
BLACKGLASSES         - ROM 0x01d874b1
BLACKTHORN GYM       - ROM 0x01d8e341
BLAINE               - ROM 0x01d8fc60
BLIZZARD             - ROM 0x01d80fab
BLK APRICORN         - ROM 0x01d87496
BLU APRICORN         - ROM 0x01d87424
BLUE                 - ROM 0x01d8fc67
BLUE CARD            - ROM 0x01d8753f
BLUESKY MAIL         - ROM 0x01d877a8
BODY SLAM            - ROM 0x01d80edb
BONE CLUB            - ROM 0x01d81226
BONE RUSH            - ROM 0x01d814eb
BONEMERANG           - ROM 0x01d81346
BOULDERBADGE         - ROM 0x01d89f84
BRICK PIECE          - ROM 0x01d87756
BRIGHT POWDER        - ROM 0x01d870d3
BROCK                - ROM 0x01d8fc5a
BUBBLE               - ROM 0x01d812ec
BUBBLEBEAM           - ROM 0x01d80fbc
BUG                  - ROM 0x01d8c12a
BURN                 - ROM 0x01d8c2e8
BURN HEAL            - ROM 0x01d87113
BURNT BERRY          - ROM 0x01d873aa
Battle again         - ROM 0x01d8e1a4
CALCIUM              - ROM 0x01d871dd
CANCEL               - ROM 0x01d8cdab
CARBOS               - ROM 0x01d871ca
CARD KEY             - ROM 0x01d875b4
CASCADEBADGE         - ROM 0x01d89f91
CELADON GYM          - ROM 0x01d8fe9b
CELADON GYM BATTLE   - ROM 0x01d8e39d
CERULEAN GYM         - ROM 0x01d8fe80
CERULEAN GYM BATTLE  - ROM 0x01d8e374
CHALLENGE CUP        - ROM 0x01d8c717
CHARCOAL             - ROM 0x01d87608
CHARM                - ROM 0x01d81521
CHECK                - ROM 0x01d8cdb2
CIANWOOD GYM BATTLE  - ROM 0x01d8e2fa
CINNABAR GYM         - ROM 0x01d8febf
CINNABAR GYM BATTLE  - ROM 0x01d8e3d6
CLAMP                - ROM 0x01d81245
CLEANSE TAG          - ROM 0x01d87458
CLEAR BELL           - ROM 0x01d87343
COIN CASE            - ROM 0x01d872af
COM                  - ROM 0x01d8ca89
COMET PUNCH          - ROM 0x01d80dbd
CONFUSE RAY          - ROM 0x01d81193
CONFUSION            - ROM 0x01d81102
CONSTRICT            - ROM 0x01d81269
CONVERSION           - ROM 0x01d81374
COTTON SPORE         - ROM 0x01d8141e
COUNTER              - ROM 0x01d81002
CRABHAMMER           - ROM 0x01d81325
CROSS CHOP           - ROM 0x01d8167a
CRUNCH               - ROM 0x01d816a2
CURSE                - ROM 0x01d813fb
CUT                  - ROM 0x01d80e32
Cancel               - ROM 0x01d8c9c5
Challenge Cup        - ROM 0x01d8e44b
Champion             - ROM 0x01d8e42b
Change Item          - ROM 0x01d8c5c3
Check                - ROM 0x01d8c9bf
Class Room           - ROM 0x01d8fc9b
Continue             - ROM 0x01d8e15e
DARK                 - ROM 0x01d8c16b
DEFENSE              - ROM 0x01d8cdea
DEFENSE CURL         - ROM 0x01d811a8
DESTINY BOND         - ROM 0x01d814c2
DETECT               - ROM 0x01d814e4
DEX                  - ROM 0x01d89f0a
DIG                  - ROM 0x01d810f8
DIRE HIT             - ROM 0x01d87262
DISABLE              - ROM 0x01d80f63
DIZZY PUNCH          - ROM 0x01d812f3
DOME FOSSIL          - ROM 0x01d8a052
DOUBLE KICK          - ROM 0x01d80e6f
DOUBLE TEAM          - ROM 0x01d81163
DOUBLE-EDGE          - ROM 0x01d80efb
DOUBLESLAP           - ROM 0x01d80db2
DRAGON               - ROM 0x01d8c164
DRAGON FANG          - ROM 0x01d87635
DRAGON RAGE          - ROM 0x01d81096
DRAGON SCALE         - ROM 0x01d8765c
DRAGONBREATH         - ROM 0x01d815ee
DREAM EATER          - ROM 0x01d812a1
DRILL PECK           - ROM 0x01d80fe3
DYNAMICPUNCH         - ROM 0x01d815d8
Defense              - ROM 0x01d8c215
Delete more          - ROM 0x01d8c86c
Delete this set      - ROM 0x01d8c9af
EARTHBADGE           - ROM 0x01d89fda
EARTHQUAKE           - ROM 0x01d810e5
ECRUTEAK GYM BATTLE  - ROM 0x01d8e2e6
EGG BOMB             - ROM 0x01d8120c
EGG TICKET           - ROM 0x01d875ca
ELECTRIC             - ROM 0x01d8c14f
ELITE FOUR           - ROM 0x01d8fed9
ELITE FOUR BATTLE    - ROM 0x01d8e350
ELIXER               - ROM 0x01d8730d
EMBER                - ROM 0x01d80f70
ENCORE               - ROM 0x01d81606
ENDURE               - ROM 0x01d8151a
ENERGY ROOT          - ROM 0x01d8757a
ENERGYPOWDER         - ROM 0x01d8756d
ENTER                - ROM 0x01d8c4a8
EON MAIL             - ROM 0x01d87794
ERIKA                - ROM 0x01d8fc47
ESCAPE ROPE          - ROM 0x01d87175
ETHER                - ROM 0x01d872fd
EVASION              - ROM 0x01d8cde2
EVERSTONE            - ROM 0x01d87516
EXCHANGE             - ROM 0x01d8c4ae
EXPLOSION            - ROM 0x01d81330
EXTREMESPEED         - ROM 0x01d816be
Event Battle         - ROM 0x01d8e5ac
FAINT ATTACK         - ROM 0x01d81464
FAINTED              - ROM 0x01d8c2d3
FALSE SWIPE          - ROM 0x01d8152f
FAST BALL            - ROM 0x01d876b0
FIGHTING             - ROM 0x01d8c107
FINAL BATTLE         - ROM 0x01d8fe68
FIRE                 - ROM 0x01d8c13e
FIRE BLAST           - ROM 0x01d81230
FIRE PUNCH           - ROM 0x01d80ddc
FIRE SPIN            - ROM 0x01d810a2
FIRE STONE           - ROM 0x01d87192
FISSURE              - ROM 0x01d810f0
FLAIL                - ROM 0x01d81401
FLAME WHEEL          - ROM 0x01d813e9
FLAMETHROWER         - ROM 0x01d80f76
FLASH                - ROM 0x01d81305
FLOWER MAIL          - ROM 0x01d8768f
FLY                  - ROM 0x01d80e51
FLYING               - ROM 0x01d8c110
FOCUS BAND           - ROM 0x01d87561
FOCUS ENERGY         - ROM 0x01d811d7
FOG                  - ROM 0x01d8fbcf
FOGBADGE             - ROM 0x01d8e0c5
FORESIGHT            - ROM 0x01d814b8
FREE BATTLE          - ROM 0x01d8c72f
FRESH WATER          - ROM 0x01d8726c
FRIEND BALL          - ROM 0x01d876c6
FRUSTRATION          - ROM 0x01d815a1
FUCHSIA GYM          - ROM 0x01d8fea7
FUCHSIA GYM BATTLE   - ROM 0x01d8e3b0
FULL HEAL            - ROM 0x01d87224
FULL RESTORE         - ROM 0x01d8713c
FURY ATTACK          - ROM 0x01d80ebd
FURY CUTTER          - ROM 0x01d81554
FURY SWIPES          - ROM 0x01d8133a
